timestamp,speed_kmh,distance_km,acceleration_ms2,road_elevation_percent,coasting_flag,battery_current_a,energy_con_wh,ke_lost_wh,e_regen_wh,batt_pack_temp_c,,,
0,0,0,0,0,0,0,0,0,0,25,,,
1,0,0,0,0,0,0,0,0,0,25,,,
2,0,0,0,0,0,0,0,0,0,25,,,
3,0,0,0,0,0,0,0,0,0,25,,,
4,0,0,0,0,0,0,0,0,0,25,,,
5,0,0,0,0,0,0,0,0,0,25,,,
6,0,0,0,0,0,0,0,0,0,25,,,
7,0,0,0,0,0,0,0,0,0,25,,,
8,0,0,0,0,0,0,0,0,0,25,,,
9,0,0,0,0,0,0,0,0,0,25,,,
10,0,0,0,0,0,0,0,0,0,25,,,
11,0,0,0,0,0,0,0.01,0,0,25,,,
12,0.2,5.56E-05,0.06,1.24,0,0.08,0.17,0,0,25,,,
13,1.7,0.000472222,0.42,1.34,0,1.7,1.08,0,0,25,,,
14,5.4,0.0015,1.03,1.45,0,10.65,2.36,0,0,25.0001,,,
15,9.9,0.00275,1.25,1.55,0,23.15,2.39,0,0,25.0006,,,
16,13.1,0.003638889,0.89,1.64,0,23.51,3.58,0,0,25.0012,,,
17,16.9,0.004694444,1.06,1.74,0,35.2,5.59,0,0,25.0024,,,
18,21.7,0.006027778,1.33,1.84,0,54.92,6.19,0,0,25.0054,,,
19,26,0.007222222,1.19,1.94,0,60.79,3.23,0,0,25.0091,,,
20,27.5,0.007638889,0.42,2.03,0,31.67,2.22,0,0,25.0101,,,
21,28.1,0.007805556,0.17,2.13,0,21.82,1.78,0,0,25.0106,,,
22,28.3,0.007861111,0.06,2.22,0,17.47,2.22,0,0,25.0109,,,
23,28.8,0.008,0.14,2.32,0,21.8,2,0,0,25.0114,,,
24,29.1,0.008083333,0.08,2.41,0,19.68,4.09,0,0,25.0118,,,
25,30.8,0.008555556,0.47,2.5,0,40.14,3.47,0,0,25.0134,,,
26,31.9,0.008861111,0.31,2.59,0,34.1,5.41,0,0,25.0146,,,
27,34.1,0.009472222,0.61,2.68,0,53.1,6.35,0,0,25.0174,,,
28,36.6,0.010166667,0.69,2.77,0,62.33,6.86,0,0,25.0213,,,
29,39.1,0.010861111,0.69,2.85,0,67.37,6.81,0,0,25.0259,,,
30,41.3,0.011472222,0.61,2.94,0,66.84,5.18,0,0,25.0304,,,
31,42.5,0.011805556,0.33,3.02,0,50.85,4.58,0,0,25.033,,,
32,43.3,0.012027778,0.22,3.11,0,45.02,4.36,0,0,25.035,,,
